	transcript	start	end	role	BC	folder	each_role	index
63	이야기를 나눠보시면 어떨까요 어떤 상황에서	230.027	234.199	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	86
64	네	230.347	234.005	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	87
65	더 명료하게 보실 수가 있으세요	250.133	252.893	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	88
66	네 음	251.613	256.572	counselor	0	1	['cs', 'cs', 'ct', 'cs', 'cs']	90
67	알겠습니다	252.093	256.398	client	0	1	['cs', 'ct', 'cs', 'cs', 'ct']	91
68	떠올려 보시면 좋을 것 같아요	261.859	263.379	counselor	2	1	['cs', 'cs', 'cs', 'cs', 'cs']	92
69	아무래도 어떤 가치관적인 부분에서 충돌이	267.219	272.699	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	93
70	좀	270.659	273.019	client	1	1	['ct', 'ct', 'ct', 'cs', 'ct']	95
71	선택한 방법인 것 같아요 그	277.739	279.419	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	97
72	아	278.099	279.987	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	98
73	어쨌든 말하면서 싸우기도 하고 이런	282.139	284.339	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	99
74	음	282.819	284.637	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	100
75	식으로 가야 되는데	284.139	286.299	client	1	1	['ct', 'cs', 'ct', 'ct', 'ct']	101
76	최대한 피하고	284.659	287.419	client	2	1	['ct', 'ct', 'cs', 'ct', 'ct']	103
77	그냥 알겠다 하고 거짓말하고	287.431	291.055	client	1	1	['cs', 'ct', 'ct', 'ct', 'ct']	105
78	음	288.535	291.122	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	106
79	안 하겠다 하고 그렇게 하고	291.295	293.415	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	107
80	이런 식으로 스스로 찾다 보니	293.415	296.095	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	109
81	음	293.615	295.989	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	110
82	잘 못 나눴던 것 같아요	297.095	299.415	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	111
83	음 그러셨구나	297.495	302.638	counselor	1	1	['ct', 'ct', 'ct', 'cs', 'cs']	112
84	네	298.415	302.955	client	0	1	['ct', 'ct', 'cs', 'cs', 'ct']	113
85	내 생각이라든가 감정을 조금 감추고	305.558	309.318	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	114
86	상반된 이게 표현을 하신 거네요	315.038	317.278	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	116
87	네 그랬던 것 같아요	316.678	319.056	client	0	1	['cs', 'ct', 'ct', 'ct', 'ct']	117
88	네 나는 아닌데 그냥 알았다고	318.375	321.775	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	118
89	네	318.575	321.576	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	119
90	게 나한테 주로 많이 있으신가요	326.015	328.175	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	120
91	네	326.175	328.944	client	2	1	['cs', 'cs', 'cs', 'cs', 'ct']	121
92	그랬던 것 같아요 그리고	328.749	331.224	client	1	1	['cs', 'ct', 'ct', 'ct', 'ct']	123
93	음	328.944	330.569	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	124
94	해도 어쨌든 벽이 좀 느껴지니까	335.024	337.224	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	125
95	가치관이 다르다라고 하면은	336.344	340.384	client	1	1	['ct', 'cs', 'ct', 'ct', 'ct']	127
96	얘기를 안 했던 것 같아요	341.304	343.104	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	129
97	두드러진 가치관이 있다면 어떠한 부분이	347.346	350.306	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	130
98	있을까요	348.466	350.826	counselor	0	1	['cs', 'cs', 'cs', 'ct', 'cs']	132
99	아 그니까 부모님이 가장	350.306	355.259	client	1	1	['cs', 'ct', 'ct', 'ct', 'ct']	133
100	음	351.599	354.671	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	134
101	압박을 주시는 것 중 하나가	355.259	358.579	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	135
102	지분이 있다고 생각하시는 것 같아요	359.379	361.659	client	0	1	['ct', 'ct', 'ct', 'ct', 'ct']	137
103	아 부모님께서	359.939	364.055	counselor	0	1	['ct', 'ct', 'ct', 'cs', 'cs']	138
104	네 그래서	361.179	364.777	client	0	1	['ct', 'cs', 'cs', 'ct', 'ct']	139
105	우진님 삶에 부모님의 지분이 있다	364.055	367.175	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	140
106	네네 그러다 보니까	366.175	369.51	client	1	1	['cs', 'cs', 'ct', 'ct', 'ct']	141
107	음	366.615	368.49	counselor	0	1	['cs', 'ct', 'ct', 'ct', 'cs']	142
108	좀 생각이 다르신 것 같아요	386.78	388.42	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	143
109	솔직하지 못하게 되는 것 같아요	391.766	394.006	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	145
110	여자친구랑 지금 7년 정도 됐는데	394.966	397.486	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	147
111	음	395.286	397.586	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	148
112	안 드렸거든요 지금까지 한 번도	398.526	400.406	client	0	1	['ct', 'ct', 'ct', 'ct', 'ct']	149
113	아 7년 동안	399.766	402.182	counselor	0	1	['ct', 'ct', 'cs', 'cs', 'cs']	150
114	네	399.846	403.847	client	1	1	['ct', 'cs', 'cs', 'cs', 'ct']	151
115	연애도 안 하시는 줄 알고	404.647	406.167	client	3	1	['ct', 'ct', 'ct', 'ct', 'ct']	153
116	아	404.967	408.207	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	154
117	네 그런 부분들이 좀 있죠	407.993	411.393	client	0	1	['ct', 'ct', 'ct', 'ct', 'ct']	155
118	오	409.473	414.714	counselor	1	1	['ct', 'ct', 'ct', 'ct', 'cs']	156
119	네	409.913	414.071	client	0	1	['ct', 'ct', 'ct', 'cs', 'ct']	157
120	안 한 마음이 어떤 마음이실까요	419.954	422.114	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	158
121	사람인지 궁금해 하실 것 같은데	424.863	429.223	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	159
122	그게 되게 불편하더라고요	426.983	432.463	client	2	1	['ct', 'cs', 'ct', 'ct', 'ct']	161
123	또 어른의 시선으로 팡 평가	433.343	436.383	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	163
124	아	433.463	437.564	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	164
125	같이 할 것 같고	436.184	437.623	client	1	1	['cs', 'ct', 'ct', 'ct', 'ct']	165
126	뭐 사실 여자친구가 부모님 이혼하셨는데	439.074	444.594	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	167
127	음	440.274	444.744	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	168
128	괜히 안 좋아하실 것 같고	445.434	448.434	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	169
129	음	446.874	448.584	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	170
130	제 지레짐작인 것 같기도 한데	450.114	452.474	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	171
131	네	450.274	452.649	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	172
132	안 꺼내게 되는 것 같아요	458.609	460.169	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	173
133	점차 갈수록 많아지게 되어 있네요	473.64	476.28	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	174
134	네 맞아요	474.12	476.854	client	1	1	['cs', 'cs', 'cs', 'ct', 'ct']	175
135	많아지면서 더 이제 감정이 다운되시고	478.185	482.105	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	176
136	않았을까 라는 생각이 좀 드네요	497.981	499.741	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	178
137	네	498.181	499.854	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	179
138	어떤 지점이 가장 좀 불편하신가요	517.835	519.875	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	180
139	없는 것들이 되게 많다라는 것	528.811	530.651	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	181
140	같은 선택을 할 수도 있겠으나	535.552	538.552	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	183
141	음	536.152	538.202	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	184
142	마음에 안 드는 것 같아요	541.832	544.392	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	185
143	네	542.192	544.752	client	1	1	['ct', 'ct', 'ct', 'cs', 'ct']	187
144	음 우진님 입장에서는	543.117	546.75	counselor	1	1	['cs', 'ct', 'cs', 'cs', 'cs']	188
145	네네	544.392	547.045	client	0	1	['ct', 'cs', 'cs', 'cs', 'ct']	189
146	때 부모님은 어떻게 반응을 하시나요	566.671	568.711	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	190
147	어	566.791	570.685	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	191
148	하시면 부모님은 어떻게 반응을 하실까요	573.069	575.789	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	192
149	어 그냥 쟤 또 저런다	576.575	581.975	client	3	1	['ct', 'ct', 'ct', 'ct', 'ct']	193
150	아	577.335	582.45	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	194
151	좀 그런 반응이신 것 같아요	592.455	594.455	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	195
152	선택에 본인들의 의결권이 있어야 된다	599.261	605.141	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	197
153	우리는 이렇게 되시는 것 같아요	614.661	618.661	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	199
154	아	616.061	619.045	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	200
155	아니라 어떤 외국에 나가고 싶다	619.983	622.863	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	201
156	음	620.223	623.358	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	202
157	것도 좀 있는 것 같고	632.583	635.063	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	203
158	좀 그런 반응이셨던 것 같아요	635.183	637.463	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	205
159	우진님은 어떻게 다가오나요 그런 반응들이	641.086	644.006	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	206
160	숨 막히는 것 같아요 네	644.554	646.554	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	207
161	뭔가 경제적으로 좀 유복하지는 않아도	649.797	654.237	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	209
162	으음	650.397	656.4	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	210
163	싶으면 하고 저거 하고 싶으면	654.837	656.717	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	211
164	음	655.117	656.68	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	212
165	하고	655.917	657.357	client	1	1	['ct', 'ct', 'ct', 'cs', 'ct']	213
166	굉장히 많이 갖고 있는 애들	659.911	664.031	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	215
167	되게 오래된 것 같아요 부모님이	666.031	669.235	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	217
168	음	666.271	668.336	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	218
169	되게 다양한 주제에서 뭐 고등학교	669.235	671.435	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	219
170	아	669.555	671.616	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	220
171	것들이 되게 많았던 것 같아요	679.995	681.875	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	221
172	경험은 별로 없으신 것 같으네요	698.346	701.106	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	222
173	그렇게 많지는 않은 것 같아요	704.454	706.094	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	223
174	그리고	705.014	707.363	client	0	1	['ct', 'ct', 'ct', 'cs', 'ct']	225
175	그럼	705.214	707.673	counselor	0	1	['ct', 'ct', 'cs', 'ct', 'cs']	226
176	크게 말을 안 했던 거지	714.243	715.803	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	227
177	어긋났다면 아마 얘기하시지 않았을까 싶기는	717.636	719.756	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	229
178	해요	718.636	720.156	client	0	1	['ct', 'ct', 'ct', 'cs', 'ct']	231
179	이제 강조하셨을 거라고 이렇게 느껴지시네요	733.281	736.601	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	232
180	뭐랄까 그 단순히 부모님뿐만 아니라	742.209	748.889	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	233
181	음	744.929	748.513	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	234
182	일을 잘하면 본인한테 좋다고 하는데	753.969	757.129	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	235
183	음	754.129	756.671	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	236
184	되게 많이 한 것 같아요	788.867	790.547	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	237
185	뭐 이런 생각도 좀 하고요	804.763	806.723	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	239
186	좀 그렇게 된 것 같아요	808.256	809.416	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	241
187	음 내가 어떻게 느껴지시나요 지금	809.803	815.472	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	242
188	그냥 말씀드린 대로 만족시켜 주다가	817.549	821.629	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	243
189	죽을 것 같은	820.909	823.069	client	1	1	['ct', 'cs', 'ct', 'ct', 'ct']	245
190	음	821.247	822.962	counselor	0	1	['cs', 'ct', 'ct', 'ct', 'cs']	246
191	자식을 만족시켜 주기 위해서 살겠죠	825.349	827.549	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	247
192	음	825.709	828.192	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	248
193	되나 지금 앞으로 남은 생활	830.538	832.298	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	249
194	음	830.858	832.791	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	250
195	그런 생각이 드는 것 같아요	832.618	834.458	client	0	1	['ct', 'ct', 'ct', 'ct', 'ct']	251
196	아 그러셨구나	833.218	835.283	counselor	0	1	['ct', 'ct', 'ct', 'cs', 'cs']	252
197	네	833.378	835.695	client	0	1	['ct', 'ct', 'cs', 'cs', 'ct']	253
198	만족시켜 주는 나는 그런 사람	837.067	839.507	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	254
199	주는 삶을 살지 않았기 때문에	841.827	846.827	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	256
200	네	842.107	844.508	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	257
201	어 어려움이 있었을까 굉장히 힘드셨겠어요	857.267	866.236	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	258
202	아닙니다	858.667	867.256	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	259
203	나를 찾기 위해서 두드렸다고 느껴져요	874.119	877.559	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	260
204	그렇게 저는 좀 느껴지는데 어떠신가요	894.891	897.251	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	262
205	근데 그 딱히 행동으로 취하지는	899.232	903.392	client	3	1	['ct', 'ct', 'ct', 'ct', 'ct']	263
206	그렇죠	899.672	903.809	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	264
207	못했던 것	901.632	903.872	client	3	1	['ct', 'ct', 'cs', 'ct', 'ct']	265
208	예	902.032	904.529	counselor	0	1	['ct', 'cs', 'ct', 'ct', 'cs']	266
209	같아요	903.329	904.512	client	0	1	['cs', 'ct', 'ct', 'cs', 'ct']	267
210	나를 좀 두드리고 계시는 부분이	906.644	908.924	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	268
211	굉장히 긍정적으로 느껴지는 부즌 부분이에요	912.844	916.364	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	270
212	네	913.484	916.692	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	271
213	하신 지점들이 있으신 것 같아요	948.086	951.086	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	272
214	네	949.166	951.753	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	273
215	위해서 어떻게 하는 게 좋을까요	970.395	974.715	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	274
216	딱 꼬집기에는 어려운 것 같아요	985.644	988.244	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	275
217	음 음	986.764	990.243	counselor	0	1	['ct', 'ct', 'ct', 'cs', 'cs']	276
218	주변인을 만족시켜주면서 행복을 얻기도 하잖아요	994.267	997.427	client	3	1	['ct', 'ct', 'ct', 'ct', 'ct']	277
219	그런 식으로 선택을 해오다 보니까	1000.415	1002.655	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	279
220	음	1000.695	1003.036	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	280
221	잘 모르는 것 같아요	1002.376	1004.855	client	2	1	['cs', 'ct', 'ct', 'ct', 'ct']	281
222	어떻게 해야 내가 만족하는가	1003.874	1006.815	client	1	1	['cs', 'ct', 'ct', 'ct', 'ct']	283
223	좋겠는데라고 다 동시에 바뀐다고 해도	1009.229	1012.149	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	285
224	명확하게 말하기가 어려운 것 같아요	1013.509	1016.989	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	287
225	네	1015.549	1017.269	client	1	1	['ct', 'ct', 'ct', 'cs', 'ct']	289
226	음 그럴 수 있어요	1016.989	1020.566	counselor	1	1	['ct', 'cs', 'cs', 'cs', 'cs']	290
227	살고 싶으신 나의 원트가 있을까요	1024.195	1027.315	counselor	0	1	['cs', 'cs', 'cs', 'cs', 'cs']	292
228	이게 또 좀 모순적이긴 한데	1029.79	1032.63	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	293
229	음	1029.95	1032.007	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	294
230	하고 싶은 것들 하면서 살되	1035.71	1039.43	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	295
231	음	1035.95	1039.022	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	296
232	처하면 도와줄 수 있는 사람	1043.59	1046.67	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	297
233	원하는 것 같아요 좀 그래서	1047.27	1050.062	client	2	1	['ct', 'ct', 'ct', 'ct', 'ct']	299
234	포함되어 있는 것 같기는 한데	1052.262	1054.582	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	301
235	그런 쪽에서 좀 예 그렇습니다	1054.582	1057.022	client	0	1	['ct', 'ct', 'ct', 'ct', 'ct']	303
236	만족감만 있지는 않은 걸로 느껴져요	1075.691	1078.651	counselor	1	1	['cs', 'cs', 'cs', 'cs', 'cs']	304
237	네	1076.771	1078.712	client	0	1	['cs', 'cs', 'cs', 'cs', 'ct']	305
238	음	1077.051	1079.171	counselor	0	1	['cs', 'cs', 'cs', 'ct', 'cs']	306
239	그래서 뭐 옷도 좀 사고	1079.471	1082.551	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	307
240	음	1079.631	1082.897	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	308
241	좀 어쨌든 소비활동을 하다 보니까	1083.231	1086.831	client	1	1	['ct', 'ct', 'ct', 'ct', 'ct']	309
242	음	1084.111	1086.831	counselor	0	1	['ct', 'ct', 'ct', 'ct', 'cs']	310
243	식의 반응이신 것 같기는 해요	1092.791	1094.551	client	0	1	['ct', 'ct', 'ct', 'ct', 'ct']	311
